"hexagon_id","geom_wkt"
19,"POLYGON((-10000 623538.2907247958,-5000 614878.0366869514,5000 614878.0366869514,10000 623538.2907247958,5000 632198.5447626403,-5000 632198.5447626403,-10000 623538.2907247958))"
20,"POLYGON((-10000 640858.7988004846,-5000 632198.5447626403,5000 632198.5447626403,10000 640858.7988004846,5000 649519.052838329,-5000 649519.052838329,-10000 640858.7988004846))"
21,"POLYGON((5000 303108.8913245535,10000 294448.63728670916,20000 294448.63728670916,25000 303108.8913245535,20000 311769.1453623979,10000 311769.1453623979,5000 303108.8913245535))"
22,"POLYGON((5000 320429.3994002423,10000 311769.1453623979,20000 311769.1453623979,25000 320429.3994002423,20000 329089.6534380867,10000 329089.6534380867,5000 320429.3994002423))"
23,"POLYGON((5000 337749.90747593105,10000 329089.6534380867,20000 329089.6534380867,25000 337749.90747593105,20000 346410.16151377547,10000 346410.16151377547,5000 337749.90747593105))"
24,"POLYGON((5000 355070.41555161984,10000 346410.16151377547,20000 346410.16151377547,25000 355070.41555161984,20000 363730.6695894642,10000 363730.6695894642,5000 355070.41555161984))"
25,"POLYGON((5000 372390.9236273086,10000 363730.6695894642,20000 363730.6695894642,25000 372390.9236273086,20000 381051.177665153,10000 381051.177665153,5000 372390.9236273086))"
26,"POLYGON((5000 389711.43170299736,10000 381051.177665153,20000 381051.177665153,25000 389711.43170299736,20000 398371.6857408418,10000 398371.6857408418,5000 389711.43170299736))"
27,"POLYGON((5000 407031.93977868615,10000 398371.6857408418,20000 398371.6857408418,25000 407031.93977868615,20000 415692.1938165305,10000 415692.1938165305,5000 407031.93977868615))"
28,"POLYGON((5000 424352.44785437494,10000 415692.1938165305,20000 415692.1938165305,25000 424352.44785437494,20000 433012.7018922193,10000 433012.7018922193,5000 424352.44785437494))"
29,"POLYGON((5000 441672.95593006373,10000 433012.7018922193,20000 433012.7018922193,25000 441672.95593006373,20000 450333.2099679081,10000 450333.2099679081,5000 441672.95593006373))"
30,"POLYGON((5000 458993.46400575247,10000 450333.2099679081,20000 450333.2099679081,25000 458993.46400575247,20000 467653.7180435969,10000 467653.7180435969,5000 458993.46400575247))"
31,"POLYGON((5000 476313.97208144126,10000 467653.7180435969,20000 467653.7180435969,25000 476313.97208144126,20000 484974.2261192856,10000 484974.2261192856,5000 476313.97208144126))"
32,"POLYGON((5000 493634.48015713005,10000 484974.2261192856,20000 484974.2261192856,25000 493634.48015713005,20000 502294.7341949744,10000 502294.7341949744,5000 493634.48015713005))"
33,"POLYGON((5000 510954.9882328188,10000 502294.7341949744,20000 502294.7341949744,25000 510954.9882328188,20000 519615.2422706632,10000 519615.2422706632,5000 510954.9882328188))"
34,"POLYGON((5000 528275.4963085075,10000 519615.2422706632,20000 519615.2422706632,25000 528275.4963085075,20000 536935.750346352,10000 536935.750346352,5000 528275.4963085075))"
35,"POLYGON((5000 545596.0043841964,10000 536935.750346352,20000 536935.750346352,25000 545596.0043841964,20000 554256.2584220407,10000 554256.2584220407,5000 545596.0043841964))"
36,"POLYGON((5000 562916.5124598851,10000 554256.2584220407,20000 554256.2584220407,25000 562916.5124598851,20000 571576.7664977295,10000 571576.7664977295,5000 562916.5124598851))"
